rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique
2004;2004-05;Unité urbaine;Toulouse;CPGE;Classes préparatoires aux grandes écoles (CPGE);PR;Établissements privés;2;Feminin;139.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;2;Feminin;682.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_ART;Écoles supérieures art et culture;PU;Établissements publics;1;Masculin;489.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_COM;Ecoles de commerce, gestion et comptabilité;PR;Établissements privés;2;Feminin;1463.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_JUR;Écoles juridiques et administratives;PU;Établissements publics;1;Masculin;127.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PU;Établissements publics;2;Feminin;929.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_PARAM;Écoles paramédicales et sociales;PR;Établissements privés;1;Masculin;290.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;2;Feminin;1333.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EC_autres;Autres écoles de spécialités diverses;PR;Établissements privés;1;Masculin;535.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
2004;2004-05;Unité urbaine;Toulouse;EPEU;Etablissements d'enseignement universitaire privés;PR;Établissements privés;2;Feminin;1202.0;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU31701
